230300.jpg,1,0.2609,0.4306,0.0232,0.0255,14
256070.jpg,1,0.4572,0.5864,0.0115,0.0134,14
271992.jpg,1,0.1528,0.7031,0.0263,0.0563,3
392185.jpg,1,0.5548,0.5804,0.0221,0.0379,10
436568.jpg,1,0.3396,0.7290,0.0179,0.0277,8
436933.jpg,1,0.5801,0.6587,0.0141,0.0208,8
445749.jpg,1,0.4471,0.6586,0.0302,0.0697,2
486515.jpg,1,0.5777,0.7290,0.0168,0.0279,8
522280.jpg,1,0.4138,0.7365,0.0332,0.0311,12
554450.jpg,1,0.3875,0.7064,0.0165,0.0335,8
557594.jpg,1,0.4784,0.4254,0.0330,0.0389,43
564940.jpg,1,0.1836,0.6667,0.0264,0.0345,70
574678.jpg,1,0.5005,0.6670,0.0334,0.0426,20
592312.jpg,1,0.2758,0.6447,0.0211,0.0321,14
624759.jpg,1,0.3942,0.6314,0.0223,0.0327,86
626734.jpg,1,0.2936,0.6545,0.0205,0.0246,20К
627271.jpg,1,0.3245,0.6711,0.0158,0.0486,1
653047.jpg,1,0.2982,0.4801,0.0257,0.0338,19
667419.jpg,1,0.2934,0.3805,0.0333,0.0434,19
741129.jpg,1,0.3005,0.7295,0.0151,0.0242,59
745750.jpg,1,0.4052,0.6714,0.0124,0.0285,2
745751.jpg,1,0.4726,0.6383,0.0264,0.0600,2
745781.jpg,1,0.7079,0.7058,0.0101,0.0525,1
89981.jpg,1,0.5047,0.5981,0.0253,0.0342,2
